"","GEOID","elevation"
"780","1227000",170.6
"781","1301696",1069.55
"782","1378800",226.38
"783","1343668",728.35
"784","1341932",1450.13
"785","1384288",849.74
"786","1309712",728.35
"787","1687850",4005.91
"788","1625120",3057.74
"789","1688480",2778.87
"790","1740767",659.45
"791","1748853",564.3
"792","1783765",547.9
"793","1777408",433.07
"794","1706899",538.06
"795","1753390",711.94
"796","1775718",666.01
"797","1747280",626.64
"798","1866546",836.61
"799","1849860",935.04
"800","1811044",790.68
"801","1853298",705.38
"802","1906175",741.47
"803","1966405",1351.71
"804","1959250",895.67
"805","1972300",1279.53
"806","1945795",1479.66
"807","1943140",1135.17
"808","2066650",1131.89
"809","2050750",771
"810","2016975",2119.42
"811","2054400",2752.62
"812","2001675",1174.54
"813","2014525",1981.63
"814","2181624",492.13
"815","2155092",396.98
"816","2255000",0
"817","2221135",190.29
"818","2251830",242.78
"819","2430850",1932.41
"820","2625000",967.85
"821","2679600",807.09
"822","2630040",744.75
"823","2609220",748.03
"824","2746348",1217.19
"825","2729870",1148.29
"826","2754340",1341.86
"827","2700838",1269.69
"828","2726270",1263.12
"829","2765938",1085.96
"830","2721410",1706.04
"831","2863560",104.99
"832","2872760",419.95
"833","2873720",580.71
"834","2881000",360.89
"835","2914212",269.03
"836","2972232",1007.22
"837","2975346",757.87
"838","2939278",754.59
"839","2945200",570.87
"840","2900604",488.85
"841","3128000",1194.23
"842","3119595",1873.36
"843","3110740",1919.29
"844","3133530",2014.44
"845","3109165",1624.02
"846","3144070",1938.98
"847","3138190",1207.35
"848","3461170",239.5
"849","3468730",52.49
"850","3635969",111.55
"851","3649781",511.81
"852","3663770",164.04
"853","3676001",1299.21
"854","3603331",1391.08
"855","3714100",672.57
"856","3738680",360.89
"857","3738200",416.67
"858","3701640",29.53
"859","3714060",72.18
"860","3883580",1463.25
"861","3853020",1571.52
"862","3946970",846.46
"863","3938948",856.3
"864","3945626",764.44
"865","3902820",938.32
"866","3955874",715.22
"867","4060250",590.55
"868","4039150",882.55
"869","4078300",652.89
"870","4028500",1161.42
"871","4021200",823.49
"872","4153150",203.41
"873","4104000",104.99
"874","4175550",3477.69
"875","4237944",721.78
"876","4238000",308.4
"877","4242688",577.43
"878","4220424",810.37
"879","4224832",1351.71
"880","4225944",1082.68
"881","4532245",36.09
"882","4564600",85.3
"883","4557670",433.07
"884","4668420",1768.37
"885","4657140",2962.6
"886","4716540",649.61
"887","4742040",764.44
"888","4778120",859.58
"889","4845744",643.04
"890","4863464",1965.22
"891","4861844",541.34
"892","4811224",1223.75
"893","4865768",59.06
"894","4869980",1433.73
"895","4819708",3704.07
"896","4847268",551.18
"897","4851720",49.21
"898","4854636",1640.42
"899","4905534",4133.86
"900","5131136",921.92
"901","5378925",902.23
"902","5340980",702.1
"903","5426692",2125.98
"904","5458300",1574.8
"905","5578175",862.86
"906","5532450",1102.36
"907","5522975",1250
"908","5515250",1190.94
"909","1704117",666.01
"910","1706756",613.52
"911","1777395",711.94
