"GEOID","per_gop","per_dem"
"2453100",0.437331318888851,0.533427188133091
"2462575",0.437331318888851,0.533427188133091
"2446800",0.437331318888851,0.533427188133091
"2414300",0.593458150754659,0.384248808628041
"2460770",0.593458150754659,0.384248808628041
"2401750",0.593458150754659,0.384248808628041
"2451945",0.593458150754659,0.384248808628041
"2405250",0.593458150754659,0.384248808628041
"2403514",0.593458150754659,0.384248808628041
"2442950",0.593458150754659,0.384248808628041
"2425000",0.593458150754659,0.384248808628041
"2429525",0.0873003730684587,0.892558637652846
"2438975",0.0873003730684587,0.892558637652846
"2443900",0.0873003730684587,0.892558637652846
"2450775",0.0873003730684587,0.892558637652846
"2483025",0.0873003730684587,0.892558637652846
"2486710",0.0873003730684587,0.892558637652846
"2428275",0.768816859906476,0.210172314393697
"2421925",0.681635716849972,0.29888058483731
"2454325",0.681635716849972,0.29888058483731
"2400250",0.0873003730684587,0.892558637652846
"2408862",0.681635716849972,0.29888058483731
"2428425",0.681635716849972,0.29888058483731
"2447275",0.681635716849972,0.29888058483731
"2452525",0.681635716849972,0.29888058483731
"2432175",0.681635716849972,0.29888058483731
"2487275",0.681635716849972,0.29888058483731
"2401450",0.0873003730684587,0.892558637652846
"2406400",0.0873003730684587,0.892558637652846
"2409325",0.0873003730684587,0.892558637652846
"2417900",0.0873003730684587,0.892558637652846
"2424650",0.0873003730684587,0.892558637652846
"2401975",0.352351710641744,0.622774334107757
"2414125",0.352351710641744,0.622774334107757
"2418250",0.352351710641744,0.622774334107757
"2423975",0.352351710641744,0.622774334107757
"2444350",0.352351710641744,0.622774334107757
"2447450",0.352351710641744,0.622774334107757
"2451587",0.352351710641744,0.622774334107757
"2452562",0.352351710641744,0.622774334107757
"2465600",0.352351710641744,0.622774334107757
"2468400",0.352351710641744,0.622774334107757
"2468700",0.352351710641744,0.622774334107757
"2486475",0.352351710641744,0.622774334107757
"2474050",0.189645578490022,0.786088061108061
"2470775",0.0873003730684587,0.892558637652846
"2475810",0.0873003730684587,0.892558637652846
"2432350",0.0873003730684587,0.892558637652846
"2414800",0.0873003730684587,0.892558637652846
"2450685",0.0873003730684587,0.892558637652846
"2483290",0.0873003730684587,0.892558637652846
"2433250",0.189645578490022,0.786088061108061
"2472350",0.0873003730684587,0.892558637652846
"2402275",0.412835858496142,0.55818317469648
"2429400",0.412835858496142,0.55818317469648
"2444975",0.412835858496142,0.55818317469648
"2443725",0.618719049191152,0.353549026081215
"2458300",0.412835858496142,0.55818317469648
"2460325",0.412835858496142,0.55818317469648
"2466850",0.412835858496142,0.55818317469648
"2471150",0.412835858496142,0.55818317469648
"2452975",0.0873003730684587,0.892558637652846
"2435412",0.437331318888851,0.533427188133091
"2431625",0.352351710641744,0.622774334107757
"2448800",0.516085681707118,0.459907965466688
"2472887",0.56558588745442,0.417956046122006
"2402025",0.412835858496142,0.55818317469648
"2461075",0.546137961750773,0.425782462580811
"2425750",0.26433667282123,0.707044607837782
"2470475",0.26433667282123,0.707044607837782
"2409400",0.593458150754659,0.384248808628041
"2423700",0.516085681707118,0.459907965466688
"2459425",0.352351710641744,0.622774334107757
"2443200",0.189645578490022,0.786088061108061
"2477912",0.485302593659942,0.490445577477278
"2456875",0.189645578490022,0.786088061108061
"2443475",0.481285899573837,0.493700203816935
"2421675",0.681635716849972,0.29888058483731
"2484784",0.553777059193389,0.415665139674841
"2440200",0.352351710641744,0.622774334107757
"2453925",0.593458150754659,0.384248808628041
"2430567",0.56558588745442,0.417956046122006
"2427375",0.56558588745442,0.417956046122006
"2454925",0.496451445386879,0.477194045352259
"2422100",0.56558588745442,0.417956046122006
"2463375",0.285805269391495,0.694663567900959
"2417350",0.189645578490022,0.786088061108061
"2421825",0.189645578490022,0.786088061108061
"2451075",0.412835858496142,0.55818317469648
"2464950",0.352351710641744,0.622774334107757
"2410150",0.0873003730684587,0.892558637652846
"2440700",0.285805269391495,0.694663567900959
"2464568",0.0873003730684587,0.892558637652846
"2483775",0.189645578490022,0.786088061108061
"2427425",0.593458150754659,0.384248808628041
"2445325",0.0873003730684587,0.892558637652846
"2412350",0.189645578490022,0.786088061108061
"2418475",0.189645578490022,0.786088061108061
"2426600",0.352351710641744,0.622774334107757
"2446725",0.553777059193389,0.415665139674841
"2476725",0.600217289463455,0.363371774298045
"2406800",0.586002335047805,0.396327032911552
"2415475",0.553777059193389,0.415665139674841
"2483337",0.56558588745442,0.417956046122006
"2446400",0.593458150754659,0.384248808628041
"2459787",0.593458150754659,0.384248808628041
"2485395",0.593458150754659,0.384248808628041
"2428725",0.0873003730684587,0.892558637652846
"2400712",0.548538524128435,0.429179445452838
"2425575",0.600217289463455,0.363371774298045
"2466400",0.412835858496142,0.55818317469648
"2455050",0.412835858496142,0.55818317469648
"2418750",0.0873003730684587,0.892558637652846
"2434775",0.0873003730684587,0.892558637652846
"2455400",0.0873003730684587,0.892558637652846
"2437875",0.496451445386879,0.477194045352259
"2462025",0.496451445386879,0.477194045352259
"2464600",0.618719049191152,0.353549026081215
"2467675",0.189645578490022,0.786088061108061
"2426200",0.437331318888851,0.533427188133091
"2486750",0.437331318888851,0.533427188133091
"2422275",0.768816859906476,0.210172314393697
"2420775",0.56558588745442,0.417956046122006
"2432900",0.189645578490022,0.786088061108061
"2421325",0.681635716849972,0.29888058483731
"2441500",0.285805269391495,0.694663567900959
"2441125",0.548538524128435,0.429179445452838
"2441250",0.0873003730684587,0.892558637652846
"2416125",0.618719049191152,0.353549026081215
"2466762",0.546137961750773,0.425782462580811
"2406550",0.285805269391495,0.694663567900959
"2410225",0.189645578490022,0.786088061108061
"2468300",0.0873003730684587,0.892558637652846
"2473075",0.586002335047805,0.396327032911552
"2450680",0.0873003730684587,0.892558637652846
"2419825",0.0873003730684587,0.892558637652846
"2408850",0.681635716849972,0.29888058483731
"2412912",0.412835858496142,0.55818317469648
"2408800",0.352351710641744,0.622774334107757
"2461400",0.352351710641744,0.622774334107757
"2453800",0.768816859906476,0.210172314393697
"2423500",0.593458150754659,0.384248808628041
"2478705",0.593458150754659,0.384248808628041
"2456450",0.620264632758839,0.354157009818381
"2456300",0.516085681707118,0.459907965466688
"2469925",0.496451445386879,0.477194045352259
"2432500",0.0873003730684587,0.892558637652846
"2453700",0.681635716849972,0.29888058483731
"2443280",0.593458150754659,0.384248808628041
