"","PlaceNum","Rank","AirportNum","TravelTime"
"282",94,"V3",45,57.58
"283",95,"V1",51,37.5383333333333
"284",95,"V2",58,100.711666666667
"285",95,"V3",57,72.3316666666667
"286",96,"V1",74,197.841666666667
"287",96,"V2",200,226.62
"288",96,"V3",198,208.861666666667
"289",97,"V1",57,78.2366666666667
"290",97,"V2",58,22.3033333333333
"291",97,"V3",51,43.645
"292",98,"V1",174,117.225
"293",98,"V2",170,68.5116666666667
"294",98,"V3",169,25.16
"295",99,"V1",174,105.633333333333
"296",99,"V2",170,54.8633333333333
"297",99,"V3",169,39.1633333333333
"298",100,"V1",174,146.071666666667
"299",100,"V2",170,190.201666666667
"300",100,"V3",173,89.2966666666667
"301",101,"V1",157,82.2933333333333
"302",101,"V2",48,10.155
"303",101,"V3",203,108.493333333333
"304",102,"V1",157,75.2933333333333
"305",102,"V2",47,97.4516666666667
"306",102,"V3",48,45.1816666666667
"307",103,"V1",159,83.3716666666667
"308",103,"V2",48,102.088333333333
"309",103,"V3",158,81.5666666666667
"310",104,"V1",47,96.5083333333333
"311",104,"V2",156,90.22
"312",104,"V3",157,104.111666666667
"313",105,"V1",156,32.145
"314",105,"V2",160,96.9633333333333
"315",105,"V3",158,74.2016666666667
"316",106,"V1",161,69.3366666666667
"317",106,"V2",164,234.868333333333
"318",106,"V3",163,127.035
"319",107,"V1",163,91.6433333333333
"320",107,"V2",162,31.2783333333333
"321",107,"V3",164,230.91
"322",108,"V1",163,123.646666666667
"323",108,"V2",162,63.2816666666667
"324",108,"V3",164,217.586666666667
"325",109,"V1",67,132.26
"326",109,"V2",176,121.87
"327",109,"V3",211,133.73
"328",110,"V1",176,48.33
"329",110,"V2",60,99.7783333333333
"330",110,"V3",67,39.415
"331",111,"V1",129,101.751666666667
"332",111,"V2",42,113.606666666667
"333",111,"V3",62,78.295
"334",112,"V1",211,114.026666666667
"335",112,"V2",61,141.448333333333
"336",112,"V3",67,102.995
"337",113,"V1",42,59.4933333333333
"338",113,"V2",60,95.8216666666667
"339",113,"V3",141,122.086666666667
"340",114,"V1",61,71.5
"341",114,"V2",211,160.565
"342",114,"V3",176,112.568333333333
"343",115,"V1",63,150.533333333333
"344",115,"V2",194,212.3
"345",115,"V3",131,166.65
"346",116,"V1",73,167.408333333333
"347",116,"V2",72,91.5233333333333
"348",116,"V3",63,102.531666666667
"349",117,"V1",63,80.06
"350",117,"V2",64,180.708333333333
"351",117,"V3",194,183.388333333333
"352",118,"V1",63,70.765
"353",118,"V2",64,101.56
"354",118,"V3",177,124.211666666667
"355",119,"V1",63,82.0416666666667
"356",119,"V2",131,104.835
"357",119,"V3",64,108.45
"358",120,"V1",64,116.101666666667
"359",120,"V2",177,35.4766666666667
"360",120,"V3",63,59.87
"361",121,"V1",178,129.283333333333
"362",121,"V2",65,24.9066666666667
"363",121,"V3",180,170.968333333333
"364",122,"V1",65,131.873333333333
"365",122,"V2",178,242.845
"366",122,"V3",81,189.481666666667
"367",123,"V1",181,82.5033333333333
"368",123,"V2",185,70.0433333333333
"369",123,"V3",183,63.6583333333333
"370",124,"V1",183,96.3516666666667
"371",124,"V2",41,104.165
"372",124,"V3",181,22.4983333333333
"373",125,"V1",184,116.726666666667
"374",125,"V2",67,154.133333333333
"375",125,"V3",183,61.6183333333333
"376",126,"V1",67,24.4716666666667
"377",126,"V2",184,112
"378",126,"V3",176,68.8133333333333
"379",127,"V1",183,134.351666666667
"380",127,"V2",169,123.006666666667
"381",127,"V3",185,131.311666666667
"382",128,"V1",184,100.568333333333
"383",128,"V2",67,154.138333333333
"384",128,"V3",182,58.6566666666667
"385",129,"V1",187,77.8566666666667
"386",129,"V2",155,118.808333333333
"387",129,"V3",186,32.7883333333333
"388",130,"V1",190,226.655
"389",130,"V2",165,261.28
"390",130,"V3",49,162.035
"391",131,"V1",190,224.99
"392",131,"V2",49,259.615
"393",131,"V3",165,137.708333333333
"394",132,"V1",162,91.9666666666667
"395",132,"V2",190,158.635
"396",132,"V3",163,149.328333333333
"397",133,"V1",69,57.635
"398",133,"V2",88,194.05
"399",133,"V3",70,174.941666666667
"400",134,"V1",73,115.293333333333
"401",134,"V2",72,115.35
"402",134,"V3",71,112.935
"403",135,"V1",72,181.053333333333
"404",135,"V2",73,29.4566666666667
"405",135,"V3",63,48.3816666666667
"406",136,"V1",63,126.853333333333
"407",136,"V2",72,136.44
"408",136,"V3",73,159.848333333333
"409",137,"V1",71,115.53
"410",137,"V2",72,147.066666666667
"411",137,"V3",73,160.648333333333
"412",138,"V1",200,269.058333333333
"413",138,"V2",198,205.805
"414",138,"V3",77,80.285
"415",139,"V1",194,209.765
"416",139,"V2",198,69.0466666666667
"417",139,"V3",63,173.773333333333
"418",140,"V1",194,218.256666666667
"419",140,"V2",198,32.69
"420",140,"V3",63,136.905
"421",141,"V1",137,176.19
"422",141,"V2",136,170.601666666667
"423",141,"V3",73,102.551666666667
"424",142,"V1",78,38.2516666666667
"425",142,"V2",122,165.783333333333
"426",142,"V3",213,282.606666666667
"427",143,"V1",93,207.436666666667
"428",143,"V2",53,348.546666666667
"429",143,"V3",168,215.548333333333
"430",144,"V1",105,252.096666666667
"431",144,"V2",103,184.411666666667
"432",144,"V3",101,156.453333333333
"433",145,"V1",81,91.8766666666667
"434",145,"V2",205,119.316666666667
"435",145,"V3",206,254.78
"436",146,"V1",211,121.191666666667
"437",146,"V2",67,123.945
"438",146,"V3",184,103.136666666667
"439",147,"V1",211,222.166666666667
"440",147,"V2",203,200.995
"441",147,"V3",191,55.5433333333333
"442",148,"V1",19,107.556666666667
"443",148,"V2",18,87.2266666666667
"444",148,"V3",41,94.9516666666667
"445",149,"V1",210,123.205
"446",149,"V2",207,120.838333333333
"447",149,"V3",208,52.5916666666667
"448",150,"V1",209,152.496666666667
"449",150,"V2",127,82.8083333333333
"450",150,"V3",210,166.201666666667
"451",151,"V1",209,130.351666666667
"452",151,"V2",147,111.418333333333
"453",151,"V3",210,157.655
"454",152,"V1",46,112.265
"455",152,"V2",126,156.995
"456",152,"V3",124,158.941666666667
"457",153,"V1",127,124.06
"458",153,"V2",209,46.3016666666667
"459",153,"V3",125,89.82
"460",154,"V1",127,78.7433333333333
"461",154,"V2",126,95.95
"462",154,"V3",124,61.74
"463",155,"V1",36,79.925
"464",155,"V2",124,114.803333333333
"465",155,"V3",130,166.093333333333
"466",156,"V1",128,173.573333333333
"467",156,"V2",38,125.29
"468",156,"V3",36,34.8666666666667
"469",157,"V1",121,74.68
"470",157,"V2",125,132.826666666667
"471",157,"V3",147,151.778333333333
"472",158,"V1",128,152.298333333333
"473",158,"V2",38,153.931666666667
"474",158,"V3",70,44.2033333333333
"475",159,"V1",32,72.085
"476",159,"V2",121,87.0216666666667
"477",159,"V3",147,170.251666666667
"478",160,"V1",32,89.485
"479",160,"V2",121,124.928333333333
"480",160,"V3",125,169.126666666667
"481",161,"V1",131,228.865
"482",161,"V2",63,241.773333333333
"483",161,"V3",64,84.4916666666667
"484",162,"V1",133,68.8866666666667
"485",162,"V2",136,90.65
"486",162,"V3",137,119.103333333333
"487",163,"V1",44,128.051666666667
"488",163,"V2",190,186.725
"489",163,"V3",147,159.548333333333
"490",164,"V1",146,261.033333333333
"491",164,"V2",44,135.411666666667
"492",164,"V3",210,387.673333333333
"493",165,"V1",150,209.595
"494",165,"V2",136,107.261666666667
"495",165,"V3",133,85.375
"496",166,"V1",165,179.755
"497",166,"V2",49,130.383333333333
"498",166,"V3",45,69.7216666666667
"499",167,"V1",165,119.91
"500",167,"V2",49,59.2483333333333
"501",167,"V3",190,267.185
"502",168,"V1",165,195.513333333333
"503",168,"V2",49,134.851666666667
"504",168,"V3",190,274.516666666667
"505",169,"V1",59,56.4283333333333
"506",169,"V2",56,25.3733333333333
"507",169,"V3",169,106.488333333333
"508",170,"V1",163,220.411666666667
"509",170,"V2",162,143.251666666667
"510",170,"V3",161,90.7166666666667
"511",171,"V1",164,155.921666666667
"512",171,"V2",161,262.875
"513",171,"V3",163,67.9816666666667
"514",172,"V1",42,81.8716666666667
"515",172,"V2",60,86.915
"516",172,"V3",61,125.62
"517",173,"V1",63,67.9816666666667
"518",173,"V2",64,79.2666666666667
"519",173,"V3",177,101.918333333333
"520",174,"V1",65,73.735
"521",174,"V2",180,155.73
"522",174,"V3",206,148.058333333333
"523",175,"V1",182,104.755
"524",175,"V2",67,120.548333333333
"525",175,"V3",176,47.7166666666667
"526",176,"V1",194,205.388333333333
"527",176,"V2",198,94.1416666666667
"528",176,"V3",63,157.385
"529",177,"V1",50,98.6783333333333
"530",177,"V2",55,98.64
"531",177,"V3",17,122.716666666667
"532",178,"V1",202,80.6733333333333
"533",178,"V2",80,81.555
"534",178,"V3",79,88.8533333333333
"535",179,"V1",104,149.458333333333
"536",179,"V2",101,78.7416666666667
"537",179,"V3",105,179.685
"538",180,"V1",35,66.775
"539",180,"V2",127,56.005
"540",180,"V3",34,66.595
"541",181,"V1",49,116.58
"542",181,"V2",165,61.1783333333333
"543",181,"V3",32,95.6883333333333
"544",182,"V1",49,115.925
"545",182,"V2",165,67.215
"546",182,"V3",45,77.015
